classes,x,y,w,h,img_w,img_h
9,0.4512,0.0656,0.0609,0.0917,480,640
9,0.5341,0.4528,0.0574,0.0991,480,640
9,0.5236,0.0678,0.0689,0.0852,480,640
9,0.4684,0.4500,0.0561,0.0910,480,640
9,0.4789,0.8317,0.0612,0.0849,480,640
9,0.5464,0.8345,0.0673,0.0908,480,640
8,0.5475,0.8322,0.0627,0.0873,480,640
0,0.2032,0.8362,0.0632,0.0938,480,640
0,0.1758,0.0600,0.0627,0.0920,480,640
4,0.3826,0.0656,0.0734,0.0825,480,640
4,0.6229,0.8361,0.0850,0.0855,480,640
4,0.6067,0.4532,0.0753,0.0797,480,640
0,0.2457,0.0597,0.0616,0.0984,480,640
5,0.1139,0.0630,0.0571,0.0873,480,640
0,0.1952,0.4451,0.0599,0.0981,480,640
0,0.2719,0.8345,0.0629,0.1015,480,640
5,0.1382,0.8364,0.0555,0.0871,480,640
5,0.1331,0.4495,0.0558,0.0828,480,640
4,0.4003,0.4515,0.0730,0.0601,480,640
4,0.4104,0.8349,0.0724,0.0785,480,640
3,0.3128,0.0622,0.0663,0.0875,480,640
0,0.2627,0.4449,0.0600,0.0931,480,640
3,0.3304,0.4468,0.0594,0.0702,480,640
7,0.6591,0.0683,0.0677,0.0728,480,640
7,0.6701,0.4498,0.0661,0.0787,480,640
3,0.3380,0.8324,0.0643,0.0944,480,640
