classes,x,y,w,h,img_w,img_h
9,0.2581,0.7536,0.0193,0.0416,4608,3456
9,0.2603,0.6061,0.0198,0.0412,4608,3456
9,0.2334,0.7534,0.0185,0.0425,4608,3456
9,0.2587,0.4595,0.0192,0.0463,4608,3456
9,0.2355,0.4596,0.0211,0.0465,4608,3456
9,0.2368,0.6062,0.0191,0.0441,4608,3456
9,0.2616,0.1574,0.0185,0.0454,4608,3456
9,0.2397,0.1566,0.0181,0.0463,4608,3456
9,0.2845,0.1580,0.0171,0.0446,4608,3456
9,0.2603,0.0111,0.0185,0.0270,4608,3456
9,0.2375,0.3093,0.0175,0.0470,4608,3456
9,0.2604,0.3092,0.0191,0.0450,4608,3456
0,0.1655,0.6063,0.0180,0.0424,4608,3456
0,0.2821,0.4596,0.0187,0.0431,4608,3456
0,0.2807,0.6077,0.0191,0.0434,4608,3456
0,0.2847,0.7539,0.0184,0.0442,4608,3456
0,0.2160,0.1559,0.0157,0.0504,4608,3456
0,0.1675,0.3088,0.0159,0.0465,4608,3456
0,0.2158,0.6055,0.0179,0.0404,4608,3456
0,0.2131,0.4595,0.0223,0.0410,4608,3456
0,0.2162,0.3090,0.0161,0.0501,4608,3456
0,0.1466,0.0123,0.0158,0.0260,4608,3456
0,0.2825,0.0118,0.0161,0.0262,4608,3456
0,0.2019,0.7542,0.0165,0.0414,4608,3456
0,0.2832,0.3092,0.0171,0.0458,4608,3456
0,0.2027,0.6064,0.0160,0.0396,4608,3456
0,0.1655,0.4591,0.0204,0.0429,4608,3456
0,0.1997,0.4593,0.0206,0.0412,4608,3456
0,0.2090,0.8977,0.0165,0.0440,4608,3456
0,0.1455,0.6067,0.0191,0.0439,4608,3456
0,0.1636,0.8991,0.0175,0.0447,4608,3456
2,0.1966,0.3093,0.0181,0.0513,4608,3456
1,0.2978,0.0140,0.0160,0.0265,4608,3456
1,0.3008,0.3095,0.0167,0.0460,4608,3456
2,0.1853,0.6073,0.0180,0.0442,4608,3456
2,0.1877,0.4595,0.0204,0.0460,4608,3456
0,0.2194,0.0106,0.0153,0.0241,4608,3456
0,0.1471,0.3092,0.0171,0.0480,4608,3456
0,0.1442,0.4584,0.0200,0.0432,4608,3456
0,0.1472,0.1558,0.0170,0.0503,4608,3456
0,0.2793,0.8987,0.0171,0.0468,4608,3456
0,0.1663,0.0114,0.0134,0.0245,4608,3456
5,0.1244,0.0122,0.0171,0.0269,4608,3456
1,0.3014,0.4595,0.0175,0.0452,4608,3456
5,0.1232,0.6065,0.0209,0.0458,4608,3456
1,0.3049,0.1586,0.0154,0.0476,4608,3456
5,0.1221,0.3096,0.0199,0.0478,4608,3456
5,0.1236,0.4579,0.0221,0.0436,4608,3456
0,0.1444,0.7545,0.0187,0.0412,4608,3456
3,0.2315,0.8982,0.0224,0.0472,4608,3456
2,0.1953,0.1562,0.0182,0.0507,4608,3456
2,0.1836,0.3094,0.0175,0.0490,4608,3456
1,0.2983,0.7535,0.0163,0.0479,4608,3456
5,0.1227,0.1557,0.0191,0.0497,4608,3456
5,0.1244,0.7548,0.0186,0.0435,4608,3456
0,0.1693,0.1553,0.0156,0.0506,4608,3456
0,0.1638,0.7541,0.0168,0.0432,4608,3456
2,0.1864,0.8983,0.0173,0.0486,4608,3456
1,0.2969,0.8986,0.0143,0.0491,4608,3456
5,0.1235,0.8975,0.0204,0.0472,4608,3456
1,0.3035,0.6080,0.0169,0.0471,4608,3456
2,0.1846,0.7548,0.0169,0.0459,4608,3456
3,0.2550,0.8987,0.0179,0.0477,4608,3456
0,0.1429,0.8983,0.0178,0.0448,4608,3456
