classes,x,y,w,h,img_w,img_h
9,0.4205,0.7098,0.0572,0.0576,480,640
8,0.6293,0.0406,0.0455,0.0645,480,640
8,0.5310,0.4859,0.0588,0.0824,480,640
8,0.5450,0.9456,0.0463,0.0617,480,640
8,0.4281,0.9460,0.0584,0.0669,480,640
8,0.6588,0.7092,0.0614,0.0667,480,640
8,0.6645,0.9437,0.0446,0.0723,480,640
8,0.4191,0.4894,0.0507,0.0742,480,640
3,0.4260,0.9466,0.0494,0.0569,480,640
3,0.3958,0.0463,0.0470,0.0511,480,640
0,0.2427,0.2673,0.0396,0.0594,480,640
0,0.2276,0.0394,0.0536,0.0636,480,640
8,0.6400,0.2635,0.0423,0.0668,480,640
3,0.5120,0.0423,0.0673,0.0671,480,640
3,0.4110,0.2649,0.0578,0.0700,480,640
5,0.1737,0.0407,0.0387,0.0567,480,640
0,0.2837,0.0402,0.0433,0.0691,480,640
7,0.4792,0.7093,0.0591,0.0587,480,640
5,0.1932,0.4862,0.0319,0.0623,480,640
7,0.4554,0.0423,0.0646,0.0638,480,640
5,0.1860,0.2647,0.0326,0.0636,480,640
0,0.3091,0.7132,0.0574,0.0688,480,640
0,0.2951,0.2654,0.0395,0.0668,480,640
6,0.6455,0.4846,0.0559,0.0834,480,640
3,0.4167,0.4895,0.0448,0.0616,480,640
8,0.6442,0.4846,0.0395,0.0662,480,640
7,0.4672,0.2637,0.0623,0.0656,480,640
3,0.3624,0.7149,0.0422,0.0691,480,640
3,0.3391,0.0450,0.0476,0.0615,480,640
0,0.2525,0.7130,0.0545,0.0726,480,640
0,0.2471,0.4843,0.0521,0.0701,480,640
4,0.4737,0.4898,0.0581,0.0656,480,640
5,0.1960,0.7136,0.0382,0.0601,480,640
0,0.2529,0.9450,0.0580,0.0755,480,640
0,0.3107,0.9451,0.0595,0.0728,480,640
0,0.3038,0.4841,0.0529,0.0660,480,640
7,0.4848,0.9471,0.0660,0.0695,480,640
5,0.1958,0.9469,0.0426,0.0657,480,640
7,0.5694,0.0434,0.0637,0.0589,480,640
7,0.5871,0.4879,0.0590,0.0695,480,640
3,0.3704,0.9457,0.0441,0.0643,480,640
7,0.6016,0.9454,0.0605,0.0666,480,640
7,0.5809,0.2653,0.0632,0.0678,480,640
